0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
494,15,13,0,1,85,105,115,1058,595,9,90,408,33,298,6,53
29,15,2,1,0,4,10,10,75,38,1,7,26,2,27,2,3
15,1,2,0,0,3,5,8,27,19,1,3,18,1,4,3,2
4,0,0,0,0,1,2,0,6,4,0,0,2,1,2,0,0
3,0,0,0,0,2,2,1,7,5,0,1,12,0,4,0,3
82,2,3,0,0,28,23,29,171,118,0,15,71,9,57,1,12
77,5,1,0,0,21,43,42,171,100,0,19,57,4,42,1,10
126,8,3,1,0,24,40,78,240,150,2,30,73,4,46,4,11
1185,42,15,1,7,187,160,238,4001,1229,20,228,788,72,526,12,114
722,19,6,1,1,126,113,147,1489,1050,12,150,556,38,410,4,50
24,2,1,0,0,4,4,14,30,36,5,10,20,5,13,1,8
171,11,6,0,0,20,34,48,371,227,6,73,174,7,147,4,30
419,9,5,1,0,77,62,96,986,490,2,107,655,32,367,2,41
56,2,0,0,0,12,6,8,104,62,0,6,78,11,44,0,3
140,2,0,0,1,27,24,34,257,148,0,42,155,14,136,2,33
9,2,0,0,0,1,1,3,17,6,0,0,4,1,7,0,0
225,12,6,2,2,55,72,82,422,339,5,51,187,33,153,4,62
